,Cost Center,Employee ID,Payroll Code,Hiring Period,FT-PT Status
21193,ULO,P809122,BTW,JUL,FT
21194,ESX,F532161,BTW,JAN,PT
21195,AHS,M645773,BTW,OCT,PT
21196,OZG,I895032,ATW,APR,PT
21197,ESO,D055532,BTW,FEB,FT
21198,OZG,T759834,ATW,AUG,FT
21199,OZG,J181998,BTW,JUN,PT
21200,AOO,X949879,ATW,FEB,PT
21201,DOI,Y087401,ATW,MAY,FT
21202,BJZ,S052281,ATW,DEC,PT
21203,LNX,W958577,BTW,JUL,PT
21204,LNX,J292163,ATW,MAR,PT
21205,LNX,X865960,BTW,DEC,PT
21206,OZG,S409074,BTW,MAR,FT
21207,AOO,Q470842,BTW,MAY,PT
21208,NLG,K323960,ADM,SEP,FT
21209,YTE,M689224,ATW,AUG,PT
21210,DHU,N728281,ATW,MAR,FT
21211,ACJ,V176343,ATW,NOV,PT
21212,LNX,Z118468,BTW,AUG,FT
21213,YTE,I447201,ATW,SEP,PT
21214,DOI,N275042,BTW,FEB,PT
21215,ACJ,X219760,BTW,SEP,PT
21216,OZG,V768002,ATW,JAN,FT
21217,LNX,K275827,ATW,NOV,PT
21218,QCU,D440053,BTW,OCT,FT
21219,DOI,Y917394,ATW,JUN,PT
21220,BJZ,R289719,ATW,DEC,FT
21221,ULO,I522174,ATW,AUG,PT
21222,CLD,A723970,BTW,MAR,PT
21223,AOO,C577896,BTW,SEP,PT
21224,CLD,M621785,ATW,OCT,FT
21225,OZG,C775687,ATW,MAR,PT
21226,AOO,Q777686,ATW,JAN,FT
21227,ACJ,I109333,ATW,NOV,PT
21228,CLD,S172988,BTW,DEC,FT
21229,ACJ,B810229,BTW,MAR,PT
21230,AOO,G004641,BTW,OCT,PT
21231,BJZ,P286571,BTW,SEP,FT
21232,DHU,K110270,ATW,MAY,FT
21233,DOI,X214731,ATW,AUG,FT
21234,ESX,D093792,ATW,NOV,PT
21235,LNX,D430966,BTW,APR,PT
21236,AOO,J884710,BTW,JAN,FT
21237,DHU,K661296,ATW,APR,FT
21238,NLG,A699373,BTW,JUL,PT
21239,NLG,D735987,BTW,JAN,PT
21240,ACJ,O766891,ATW,JAN,PT
21241,DOI,P249875,ADM,MAR,FT
21242,GDP,A381348,BTW,MAY,PT
21243,ULO,A632908,ATW,MAY,FT
21244,ULO,Y723989,ATW,MAY,PT
21245,BJZ,Z587107,ATW,JUN,PT
21246,DOI,X308959,ATW,SEP,PT
21247,LNX,Y437576,BTW,FEB,PT
21248,ESX,E056828,ATW,DEC,FT
21249,NLG,F311199,BTW,FEB,PT
21250,DOI,N852902,ATW,JUN,PT
21251,ULO,A725934,BTW,APR,PT
21252,CLD,O905525,ATW,NOV,FT
21253,NLG,A305371,ATW,JAN,FT
21254,GDP,K439867,ATW,OCT,FT
21255,OZG,F372252,ATW,MAY,PT
21256,ULO,I662676,ATW,OCT,FT
21257,DOI,I170791,BTW,APR,PT
21258,NLG,M517538,ATW,SEP,FT
21259,AOO,B111601,BTW,JUL,PT
21260,ESX,Z839726,BTW,MAR,PT
21261,ACJ,B802295,ATW,OCT,FT
21262,ESX,V356551,ATW,NOV,PT
21263,DOI,K591959,ADM,FEB,FT
21264,DOI,H949867,BTW,FEB,PT
21265,GDP,C932172,ATW,JUL,PT
21266,AHS,U305402,BTW,MAY,PT
21267,CLD,Q259992,ATW,OCT,PT
21268,CLD,B431313,ATW,NOV,PT
21269,BJZ,L047257,ATW,MAR,PT
21270,AHS,S976411,ADM,JUN,PT
21271,OZG,P768138,BTW,AUG,PT
21272,LNX,G256892,BTW,SEP,PT
21273,ESO,P233835,ATW,JAN,FT
21274,QCU,A848407,ATW,NOV,PT
21275,ULO,D655040,ATW,APR,PT
21276,OZG,H083118,ATW,MAY,FT
21277,OZG,H113682,ADM,AUG,PT
21278,QCU,M621273,ATW,OCT,FT
21279,ACJ,U956537,BTW,JUL,PT
21280,YTE,B593016,BTW,APR,PT
21281,YTE,U626404,ADM,JUN,PT
21282,ULO,B083346,ATW,JAN,PT
21283,GDP,L564755,BTW,APR,FT
21284,ESO,T961115,BTW,DEC,PT
21285,LNX,M083597,BTW,JUL,PT
21286,ESO,G113448,ATW,JUL,PT
21287,ACJ,W269778,ATW,APR,PT
21288,ACJ,E225922,ATW,MAY,PT
21289,QCU,L182083,BTW,OCT,PT
21290,ULO,G435224,ATW,NOV,PT
21291,QCU,L904619,BTW,APR,FT
21292,ACJ,V324892,BTW,NOV,PT
21293,CLD,N730804,ATW,FEB,PT
21294,DHU,G640881,BTW,OCT,PT
21295,ACJ,T496794,BTW,SEP,PT
21296,BJZ,I660292,ATW,APR,PT
21297,ESX,W687265,BTW,MAY,FT
21298,ACJ,S737681,BTW,JUL,FT
21299,ACJ,O835589,BTW,SEP,PT
21300,CLD,Q764514,ATW,JUN,PT
21301,OZG,O704205,BTW,JUL,PT
21302,YTE,I460040,ATW,MAY,PT
21303,ACJ,H443182,ADM,JAN,PT
21304,ESX,Y446115,BTW,OCT,PT
21305,ESX,R114338,ATW,NOV,PT
21306,AHS,V261923,BTW,JUN,FT
21307,ESX,Z917563,BTW,JUL,PT
21308,NLG,Y223941,BTW,DEC,PT
21309,CLD,U002582,BTW,JUL,FT
21310,ESX,B020045,ATW,DEC,FT
21311,QCU,B092403,BTW,NOV,PT
21312,GDP,T639223,BTW,JUL,PT
21313,LNX,Z173687,ATW,AUG,PT
21314,CLD,H212968,ATW,SEP,FT
21315,QCU,M055262,ATW,FEB,FT
21316,BJZ,Z691762,ATW,APR,FT
21317,ESO,T447536,BTW,MAY,FT
21318,BJZ,Q696015,BTW,MAY,PT
21319,ULO,H458809,BTW,MAR,FT
21320,ESO,K925047,ATW,SEP,FT
21321,QCU,E673831,BTW,AUG,PT
21322,NLG,S407602,BTW,OCT,FT
21323,NLG,U740522,BTW,JUL,FT
21324,DOI,O913741,BTW,JAN,PT
21325,ULO,D512332,BTW,JAN,PT
21326,ESX,N519299,BTW,DEC,FT
21327,AHS,L420750,ATW,JUN,FT
21328,GDP,U989859,ATW,APR,PT
21329,OZG,N109408,BTW,AUG,PT
21330,QCU,Q994732,BTW,APR,PT
21331,NLG,J327065,BTW,MAR,FT
21332,CLD,Z927143,ATW,JUN,FT
21333,ACJ,Z933874,BTW,NOV,PT
21334,AHS,P197817,ATW,AUG,PT
21335,ESO,Z455329,ATW,OCT,FT
21336,LNX,Y962981,BTW,FEB,FT
21337,ESO,N103389,ATW,SEP,PT
21338,OZG,Q609227,ADM,JUL,PT
21339,AHS,P065437,ADM,NOV,PT
21340,ESX,V457577,ATW,JUL,PT
21341,CLD,V910660,BTW,DEC,PT
21342,LNX,P717773,ATW,MAY,PT
21343,GDP,F143352,ATW,SEP,PT
21344,ACJ,W612713,ATW,DEC,PT
21345,AOO,K095733,BTW,OCT,PT
21346,OZG,O652037,ATW,AUG,PT
21347,CLD,H847085,BTW,DEC,PT
21348,LNX,T828153,BTW,APR,FT
21349,NLG,V499309,ATW,DEC,PT
21350,QCU,T634937,BTW,SEP,PT
21351,ESX,Z297974,ATW,AUG,PT
21352,DOI,U329690,ATW,SEP,FT
21353,BJZ,F182477,BTW,MAY,FT
21354,LNX,L707986,ATW,JUN,PT
21355,YTE,G392432,BTW,JUN,PT
21356,AHS,Y910441,BTW,FEB,FT
21357,DOI,B079591,BTW,OCT,PT
21358,GDP,Z117360,ATW,APR,PT
21359,ULO,F306096,BTW,OCT,PT
21360,BJZ,R162018,ATW,JUN,PT
21361,AHS,V644273,ADM,SEP,PT
21362,ESX,U661692,BTW,OCT,PT
21363,ESX,I129682,ATW,JUN,FT
21364,CLD,H420683,BTW,NOV,PT
21365,NLG,V664844,BTW,AUG,FT
21366,OZG,V748419,BTW,APR,FT
21367,OZG,D063705,ATW,DEC,FT
21368,ESX,W303626,ATW,NOV,PT
21369,DHU,E087827,ATW,MAY,FT
21370,AOO,Q069438,ATW,APR,PT
21371,ULO,K735569,BTW,JAN,PT
21372,YTE,S713879,BTW,MAR,PT
21373,BJZ,Q141321,ADM,JAN,PT
21374,AHS,X940296,ATW,AUG,PT
21375,ESX,I807976,ADM,JUL,FT
21376,CLD,O567920,BTW,MAR,PT
21377,NLG,P714946,ATW,JUL,PT
21378,YTE,W482212,BTW,MAY,PT
21379,AOO,H197787,BTW,JUN,PT
21380,ESX,T452240,ADM,SEP,FT
21381,OZG,J817944,BTW,NOV,PT
21382,ACJ,I548615,BTW,SEP,PT
21383,ESX,P175065,BTW,DEC,PT
21384,YTE,U935280,ATW,MAY,FT
21385,AHS,C669611,BTW,APR,PT
21386,YTE,R106662,BTW,MAR,PT
21387,DOI,N098882,ATW,JUN,PT
21388,YTE,B324117,BTW,NOV,FT
21389,YTE,C267780,BTW,APR,PT
21390,QCU,S497566,BTW,NOV,PT
21391,ULO,Y918680,BTW,FEB,PT
21392,CLD,U788528,ATW,JAN,PT
21393,LNX,U911984,ATW,APR,PT
21394,AHS,E487362,BTW,APR,FT
21395,AOO,S767959,ATW,MAY,PT
21396,GDP,P672561,ATW,APR,PT
21397,OZG,K177272,BTW,JAN,FT
21398,ULO,N778876,ATW,FEB,FT
21399,GDP,C107798,ATW,JUL,PT
21400,ACJ,E358835,ATW,MAR,PT
21401,QCU,C348502,ATW,APR,PT
21402,CLD,P080822,BTW,AUG,PT
21403,ESO,G745185,ATW,AUG,PT
21404,GDP,E200714,BTW,MAR,PT
21405,CLD,V090342,ATW,JUN,PT
21406,GDP,A863110,ADM,JAN,FT
21407,QCU,Z459848,BTW,SEP,PT
21408,ESX,A317865,ADM,FEB,PT
21409,CLD,Z182014,ATW,JUN,PT
21410,ACJ,A133496,ADM,APR,PT
21411,QCU,G962091,ATW,JUN,PT
21412,GDP,B570689,ATW,JAN,PT
21413,ULO,I445057,ATW,OCT,FT
21414,LNX,I595453,ATW,APR,PT
21415,DHU,V418980,ATW,AUG,PT
21416,CLD,F532350,ATW,JAN,PT
21417,AOO,X950817,BTW,JUN,PT
21418,OZG,P846539,BTW,JUL,PT
21419,LNX,P608195,BTW,JAN,FT
21420,YTE,R890111,ATW,MAR,PT
21421,LNX,O544818,BTW,APR,PT
21422,OZG,F471429,ATW,JAN,FT
21423,DHU,J574836,BTW,DEC,PT
21424,YTE,Y631265,BTW,FEB,PT
21425,NLG,L611602,BTW,SEP,FT
21426,CLD,S218521,BTW,NOV,FT
21427,AOO,N917187,BTW,MAR,PT
21428,BJZ,H363021,BTW,JAN,PT
21429,QCU,W557544,ADM,JAN,PT
21430,ESO,J471268,BTW,NOV,PT
21431,LNX,Z059060,ADM,JUL,FT
21432,NLG,S526922,ATW,SEP,FT
21433,BJZ,I292075,ADM,DEC,PT
21434,OZG,D473223,BTW,DEC,PT
21435,CLD,X653525,BTW,FEB,FT
21436,CLD,F462965,BTW,AUG,FT
21437,ULO,C364889,BTW,FEB,FT
21438,ESX,U451978,ATW,MAY,PT
21439,GDP,O031109,ADM,AUG,PT
21440,DHU,K680686,BTW,NOV,FT
21441,BJZ,J499376,ATW,APR,FT
21442,BJZ,I506965,BTW,DEC,PT
21443,QCU,F494665,BTW,DEC,FT
21444,AHS,F327556,ATW,FEB,PT
21445,NLG,F558089,ATW,SEP,FT
21446,OZG,V165583,BTW,APR,PT
21447,AHS,D935922,ATW,DEC,PT
21448,YTE,U890853,BTW,JAN,PT
21449,OZG,H683459,ATW,JUN,PT
21450,ACJ,Q095770,ATW,AUG,PT
21451,DHU,J992721,BTW,SEP,PT
21452,DOI,H633792,BTW,DEC,PT
21453,BJZ,I627576,ATW,DEC,FT
21454,ULO,E095277,ATW,AUG,PT
21455,ACJ,G402453,ATW,NOV,PT
21456,DOI,E529503,ATW,JUN,PT
21457,ULO,R208236,ATW,MAR,PT
21458,NLG,D261037,ADM,JAN,PT
21459,DOI,N656926,ATW,OCT,PT
21460,QCU,Q827341,ATW,AUG,PT
21461,NLG,W540148,ADM,JUL,PT
21462,DHU,G363237,ATW,JUN,PT
21463,DHU,R226122,ATW,NOV,FT
21464,BJZ,C123867,BTW,FEB,FT
21465,YTE,I154627,ATW,JUN,PT
21466,NLG,L692809,ATW,JAN,PT
21467,OZG,Q366922,ATW,NOV,PT
21468,LNX,Q757996,BTW,FEB,PT
21469,AOO,K689006,BTW,DEC,PT
21470,NLG,L432729,ATW,MAY,FT
21471,OZG,P261941,BTW,JAN,PT
21472,AHS,I948283,BTW,JUN,FT
21473,OZG,C119510,BTW,FEB,PT
21474,DHU,T891003,ADM,SEP,PT
21475,BJZ,J519026,ADM,OCT,PT
21476,DHU,O506736,ATW,APR,FT
21477,DHU,U454256,BTW,SEP,PT
21478,AOO,F654605,ATW,APR,PT
21479,ESX,Q508993,ATW,FEB,FT
21480,AHS,F447340,ATW,AUG,PT
21481,DOI,P712676,BTW,JAN,PT
21482,GDP,L740502,ADM,SEP,PT
21483,YTE,B620615,BTW,APR,PT
21484,NLG,N670395,ATW,MAY,FT
21485,DHU,Z233189,ADM,FEB,PT
21486,ESO,E484663,ATW,FEB,FT
21487,QCU,G604105,BTW,OCT,PT
21488,ACJ,W492206,ATW,DEC,FT
21489,ACJ,T571274,ATW,JUL,PT
21490,ACJ,Z338930,BTW,JUN,FT
21491,GDP,L811981,BTW,APR,FT
21492,CLD,G560802,ADM,OCT,PT
21493,BJZ,L750155,ATW,JUL,PT
21494,AOO,M879850,ATW,JUN,PT
21495,ULO,R597704,ATW,JUL,PT
21496,LNX,M754538,ADM,MAR,PT
21497,YTE,H342381,ATW,SEP,PT
21498,YTE,P151535,BTW,MAR,FT
21499,ESO,I141584,BTW,JAN,PT
21500,QCU,J670455,BTW,JUN,FT
21501,LNX,E635107,BTW,DEC,PT
21502,QCU,Y594613,ATW,DEC,PT
21503,LNX,V150884,BTW,JUL,PT
21504,DHU,M135082,ATW,FEB,PT
21505,ESO,A796506,ADM,SEP,PT
21506,ESO,T240449,BTW,JAN,PT
21507,CLD,S231848,ATW,JUN,PT
21508,NLG,C430735,ATW,NOV,FT
21509,ULO,U785780,BTW,SEP,FT
21510,LNX,Q076012,ATW,NOV,FT
21511,BJZ,M587483,ATW,OCT,PT
21512,AHS,Y829197,BTW,SEP,PT
21513,AOO,X788778,BTW,MAR,FT
21514,YTE,C341658,BTW,APR,PT
21515,DOI,B478177,BTW,AUG,PT
21516,GDP,O035274,ATW,APR,FT
21517,DHU,R134122,BTW,MAR,PT
21518,CLD,K368532,ADM,FEB,PT
21519,AHS,G662107,ATW,JUN,FT
21520,ESX,W721842,ATW,DEC,PT
21521,ULO,B466804,BTW,MAY,PT
21522,DHU,R485923,ADM,MAR,PT
21523,ESO,T083103,ATW,AUG,PT
21524,NLG,B780699,ATW,JUN,FT
21525,ESX,W663027,ADM,JAN,FT
21526,BJZ,O608760,ATW,DEC,FT
21527,DHU,C720833,ADM,JAN,PT
21528,LNX,R951134,BTW,SEP,FT
21529,DHU,V831071,BTW,MAY,PT
21530,ESX,Z964140,BTW,JUN,PT
21531,ESO,K931129,BTW,NOV,FT
21532,GDP,B950357,BTW,NOV,PT
21533,GDP,E743330,BTW,AUG,PT
21534,NLG,E311827,BTW,MAR,PT
21535,ESO,D191311,BTW,JUN,PT
21536,CLD,D990384,ATW,SEP,PT
21537,DOI,X783203,ATW,JAN,PT
21538,ACJ,Q373526,BTW,JUN,PT
21539,CLD,J160587,ATW,OCT,PT
21540,ULO,Z810048,BTW,DEC,FT
21541,QCU,A379367,ATW,SEP,FT
21542,AOO,Z445569,ATW,MAY,PT
21543,CLD,H815982,BTW,AUG,FT
21544,YTE,X089663,ATW,OCT,PT
21545,LNX,N997410,ATW,OCT,FT
21546,QCU,T656230,BTW,JUN,PT
21547,BJZ,S065949,BTW,MAR,PT
21548,DHU,Y515924,ATW,FEB,PT
21549,QCU,X267745,BTW,AUG,PT
21550,AOO,Y108059,BTW,OCT,FT
21551,QCU,Y649844,ADM,OCT,PT
21552,OZG,G876982,BTW,JUL,PT
21553,QCU,P907364,BTW,JAN,PT
21554,NLG,E983881,BTW,MAY,PT
21555,AHS,H453179,ADM,DEC,PT
21556,AHS,I135249,ATW,JAN,FT
21557,ACJ,Y988304,BTW,JUL,PT
21558,CLD,T308351,BTW,AUG,FT
21559,CLD,I479936,ATW,MAY,PT
21560,ULO,G134299,BTW,JAN,PT
21561,AOO,L135537,ATW,FEB,FT
21562,CLD,H255712,BTW,DEC,PT
21563,OZG,P920300,ATW,JUL,PT
21564,NLG,L209142,ATW,NOV,PT
21565,ACJ,N235295,BTW,SEP,FT
21566,ESO,D066977,BTW,JUN,PT
21567,AHS,C946931,ADM,OCT,FT
21568,ACJ,B814653,ATW,FEB,PT
21569,DOI,X022273,BTW,APR,FT
21570,CLD,D559814,ATW,APR,PT
21571,ESX,N982894,BTW,NOV,PT
21572,OZG,B328830,BTW,OCT,FT
21573,OZG,O530375,ADM,OCT,FT
21574,LNX,Y550696,BTW,SEP,PT
21575,GDP,H410406,ATW,DEC,PT
21576,OZG,U479293,BTW,OCT,PT
21577,ULO,B436507,BTW,MAR,FT
21578,DHU,O219310,ATW,FEB,PT
21579,AOO,Z026766,BTW,MAY,PT
21580,OZG,F526008,BTW,DEC,FT
21581,YTE,T261567,BTW,SEP,PT
21582,ESX,E920780,ATW,NOV,PT
21583,BJZ,Q160775,BTW,DEC,PT
21584,ULO,D292029,BTW,JUL,FT
21585,ACJ,F829236,ATW,JUL,FT
21586,LNX,W496423,BTW,NOV,PT
21587,ULO,O433071,ATW,OCT,PT
21588,AHS,D353902,ATW,OCT,PT
21589,AHS,E296970,ATW,FEB,FT
21590,DHU,H463548,ADM,JAN,PT
21591,ESX,D653866,BTW,JUN,FT
21592,QCU,R940514,ATW,MAY,FT
21593,BJZ,W421682,ATW,AUG,FT
21594,YTE,M767816,BTW,JUL,PT
21595,QCU,K328974,ATW,FEB,PT
21596,NLG,X912083,ATW,OCT,PT
21597,ACJ,O915223,ATW,OCT,PT
21598,AOO,R043452,ADM,SEP,PT
21599,DOI,Q777737,ADM,OCT,PT
21600,AHS,F749793,BTW,MAR,PT
21601,AOO,W093037,ATW,APR,PT
21602,GDP,L943192,ATW,MAR,PT
21603,AOO,O540723,BTW,APR,FT
21604,AOO,F791018,ATW,JUL,FT
21605,QCU,U897466,BTW,JAN,FT
21606,BJZ,A033293,ATW,JAN,PT
21607,GDP,C961917,ATW,DEC,PT
21608,YTE,T026705,ATW,MAY,FT
21609,LNX,Y696619,BTW,APR,PT
21610,DHU,W049508,BTW,MAY,PT
21611,OZG,A941807,ATW,DEC,PT
21612,BJZ,X300614,ATW,APR,FT
21613,AHS,P990183,ATW,SEP,PT
21614,ULO,I310259,ADM,SEP,PT
21615,ACJ,T438544,ADM,OCT,PT
21616,ACJ,T581879,BTW,JUN,PT
21617,LNX,B727154,BTW,JUL,PT
21618,AHS,K926821,ATW,MAR,FT
21619,ULO,L674879,ATW,SEP,PT
21620,ACJ,E075638,ATW,JAN,FT
21621,AOO,M742799,BTW,JUN,PT
21622,OZG,A932269,ATW,JAN,PT
21623,YTE,Y364243,ATW,JUL,PT
21624,CLD,J002837,BTW,SEP,PT
21625,AOO,J644401,BTW,NOV,PT
21626,QCU,P590085,BTW,JUL,PT
21627,BJZ,E021562,ATW,JUN,FT
21628,ESO,A661783,BTW,DEC,PT
21629,ACJ,W507808,BTW,FEB,PT
21630,CLD,B428462,ATW,JUN,FT
21631,OZG,G261386,ATW,MAR,PT
21632,ESX,D200275,ATW,JUL,PT
21633,OZG,W412960,ATW,AUG,FT
21634,ACJ,X537363,BTW,SEP,PT
21635,OZG,A210310,ATW,NOV,PT
21636,ESX,L420464,BTW,MAR,PT
21637,ESX,H732117,ATW,NOV,PT
21638,ESO,G447184,ATW,AUG,PT
21639,NLG,V619135,BTW,MAR,FT
21640,ULO,R948861,ATW,DEC,PT
21641,ULO,M941198,BTW,OCT,PT
21642,ESO,P658305,ATW,OCT,PT
21643,CLD,Y365452,BTW,MAY,FT
21644,BJZ,T104886,ATW,JUL,PT
21645,ESX,B056931,ATW,JUL,FT
21646,AOO,X262668,ATW,FEB,PT
21647,LNX,B722671,BTW,SEP,PT
21648,ACJ,N067287,ATW,JAN,PT
21649,LNX,L394228,ATW,DEC,PT
21650,ESO,G013087,BTW,OCT,PT
21651,GDP,Q823380,ADM,FEB,PT
21652,OZG,N721290,BTW,APR,PT
21653,CLD,W862555,BTW,AUG,PT
21654,DOI,A091093,BTW,JUN,FT
21655,ACJ,V504071,ATW,MAR,FT
21656,DHU,E880567,BTW,JUN,PT
21657,GDP,N730644,ADM,MAY,PT
21658,CLD,R778413,BTW,AUG,PT
21659,QCU,I837341,BTW,MAY,FT
21660,ULO,T299726,ATW,JAN,FT
21661,AHS,P475643,ADM,JAN,PT
21662,DOI,K779571,BTW,MAR,FT
21663,ULO,V073629,ATW,SEP,PT
21664,AOO,G379360,ATW,NOV,FT
21665,ACJ,O456781,BTW,MAR,PT
21666,BJZ,L657629,BTW,DEC,PT
21667,DHU,A512935,BTW,JUN,PT
21668,DOI,F228718,ATW,FEB,FT
21669,ESX,Z181516,BTW,FEB,PT
21670,GDP,G588179,BTW,OCT,PT
21671,BJZ,S297410,ATW,APR,PT
21672,LNX,D041665,ATW,NOV,PT
21673,YTE,U898590,ATW,MAR,FT
21674,LNX,G926069,BTW,SEP,PT
21675,QCU,C668327,ATW,FEB,PT
21676,ULO,M505356,BTW,OCT,PT
21677,LNX,U835694,ATW,AUG,FT
21678,OZG,V904664,ATW,JAN,PT
21679,QCU,S112230,BTW,NOV,PT
21680,ESX,N565643,ATW,SEP,PT
21681,DHU,B093803,BTW,APR,FT
21682,ULO,U123100,BTW,DEC,PT
21683,GDP,Q004516,ATW,MAR,PT
21684,QCU,T738207,ATW,SEP,PT
21685,QCU,W686199,ATW,JUL,PT
21686,BJZ,R099930,BTW,APR,FT
21687,ULO,B122728,BTW,APR,PT
21688,LNX,I492496,BTW,APR,FT
21689,QCU,E589204,BTW,JUN,FT
21690,BJZ,Y526049,BTW,DEC,PT
21691,DHU,R463029,ATW,MAR,PT
21692,ULO,C326497,ATW,MAY,PT
21693,NLG,I056612,BTW,JUN,PT
21694,OZG,P819394,BTW,OCT,PT
21695,AHS,O148421,BTW,NOV,PT
21696,OZG,Z691373,BTW,JAN,PT
21697,NLG,L989966,ATW,MAY,PT
21698,ULO,Z424429,ADM,DEC,FT
21699,ULO,I338876,ATW,FEB,PT
21700,DHU,E296665,BTW,APR,PT
21701,ULO,S143517,ADM,DEC,PT
21702,DHU,L887735,ATW,JUN,PT
21703,YTE,A964617,ADM,MAR,PT
21704,ESX,Y383702,BTW,FEB,PT
21705,ESX,Y831311,ATW,MAR,PT
21706,AOO,B661922,BTW,JUL,PT
21707,ULO,S984158,BTW,NOV,PT
21708,NLG,K743413,ATW,AUG,PT
21709,AHS,F279338,ATW,MAR,FT
21710,AHS,G957941,ATW,OCT,FT
21711,LNX,X958857,ADM,FEB,FT
21712,QCU,T063511,ATW,APR,PT
21713,DOI,Y611194,BTW,OCT,PT
21714,ESO,I836059,BTW,SEP,FT
21715,BJZ,U255383,ATW,AUG,PT
21716,ESO,A290636,BTW,FEB,PT
21717,NLG,G349254,BTW,SEP,FT
21718,QCU,H175093,ADM,NOV,PT
21719,ESX,M837429,ATW,MAY,FT
21720,NLG,K078872,ATW,JAN,PT
21721,LNX,Z601612,BTW,FEB,PT
21722,OZG,J629870,ATW,JUL,PT
21723,ESX,O780083,ATW,NOV,FT
21724,AHS,I366977,ATW,JAN,PT
21725,YTE,S421823,ATW,APR,PT
21726,ULO,S384030,ATW,SEP,PT
21727,LNX,J208752,BTW,JAN,FT
21728,ACJ,O395355,ATW,FEB,FT
21729,BJZ,D767105,ADM,JUL,FT
21730,ESO,X931245,ATW,MAR,PT
21731,QCU,H018973,ATW,FEB,FT
21732,LNX,F248830,ADM,NOV,FT
21733,BJZ,A354096,ATW,OCT,PT
21734,BJZ,Q000276,ATW,DEC,PT
21735,LNX,U046341,BTW,APR,FT
21736,ESX,X791160,ATW,JUL,FT
21737,AOO,E943615,BTW,MAR,PT
21738,DOI,K940998,BTW,JUN,PT
21739,ULO,K542562,BTW,DEC,PT
21740,DHU,J850866,BTW,SEP,PT
21741,OZG,Q424273,BTW,FEB,PT
21742,ACJ,W084273,ATW,JUL,PT
21743,YTE,N556407,BTW,OCT,PT
21744,ESX,R522990,BTW,FEB,PT
21745,OZG,B046313,BTW,APR,FT
21746,BJZ,T199680,BTW,JAN,PT
21747,OZG,B184812,ATW,MAY,PT
21748,DOI,G685176,BTW,AUG,PT
21749,BJZ,L364531,BTW,MAY,PT
21750,DHU,L739265,ADM,SEP,PT
21751,LNX,K766450,ATW,JUL,PT
21752,ULO,N237900,BTW,MAR,FT
21753,BJZ,T430924,BTW,MAR,PT
21754,ULO,O750072,BTW,APR,PT
21755,LNX,E728377,BTW,MAY,PT
21756,OZG,M927800,BTW,SEP,FT
21757,LNX,U753479,ATW,OCT,FT
21758,QCU,K251309,ADM,JUN,PT
21759,ACJ,E696237,BTW,MAY,FT
21760,LNX,Y647398,BTW,DEC,PT
21761,DOI,S424883,ADM,JUN,PT
21762,YTE,H073974,ATW,JUN,PT
21763,BJZ,O733705,BTW,MAR,PT
21764,QCU,L471671,ADM,AUG,FT
21765,ESO,W943364,ATW,FEB,PT
21766,AHS,W917611,BTW,JUN,PT
21767,DHU,Q728206,BTW,FEB,PT
21768,QCU,N905046,BTW,JUN,FT
21769,DHU,Y828699,ATW,DEC,PT
21770,QCU,P357661,BTW,JUL,PT
21771,DHU,Z255513,ATW,MAY,PT
21772,LNX,O217335,ATW,SEP,FT
21773,ACJ,A930038,BTW,APR,PT
21774,LNX,I952199,ATW,FEB,PT
21775,OZG,U667933,ATW,NOV,PT
21776,BJZ,D831207,ATW,SEP,PT
21777,DOI,A851919,BTW,JUN,FT
21778,LNX,I099513,ADM,JAN,PT
21779,AOO,I128441,ATW,DEC,FT
21780,CLD,P538487,BTW,SEP,FT
21781,LNX,S554695,BTW,JAN,FT
21782,DHU,K851902,ATW,OCT,PT
21783,ULO,D624743,BTW,APR,FT
21784,YTE,M749455,BTW,APR,PT
21785,DHU,Q433527,ADM,FEB,PT
21786,ULO,B791624,BTW,DEC,FT
21787,OZG,Y045481,ADM,OCT,FT
21788,DHU,A465584,ATW,FEB,PT
21789,GDP,H963127,ADM,AUG,FT
21790,AHS,D158362,BTW,MAR,PT
21791,OZG,T220008,BTW,MAY,FT
21792,AOO,F871762,ATW,APR,PT
21793,LNX,O887347,ATW,AUG,PT
21794,YTE,F418359,BTW,DEC,FT
21795,ESX,L354526,BTW,NOV,FT
21796,ULO,J648501,BTW,MAY,PT
21797,ULO,S379707,ADM,APR,FT
21798,CLD,S164881,ATW,JUN,FT
21799,DOI,M180259,BTW,FEB,FT
21800,ESX,B702301,BTW,JUN,FT
21801,ESO,D398512,ATW,JUL,PT
21802,OZG,G029633,BTW,SEP,PT
21803,OZG,E863146,ATW,MAR,PT
21804,NLG,M730945,BTW,APR,PT
21805,YTE,B736990,BTW,SEP,PT
21806,QCU,H174410,BTW,MAY,PT
21807,ACJ,F705311,BTW,SEP,PT
21808,NLG,A685557,BTW,APR,PT
21809,CLD,P661194,BTW,APR,FT
21810,ACJ,I160484,ATW,APR,PT
21811,AHS,V870690,ATW,MAR,PT
21812,BJZ,S550851,BTW,OCT,PT
21813,ULO,U506205,ATW,MAY,PT
21814,ULO,F250388,BTW,AUG,PT
21815,ESO,N152757,ATW,JUN,PT
21816,BJZ,C787965,ATW,JAN,PT
21817,NLG,O239168,ATW,JAN,PT
21818,DOI,Z759653,ATW,SEP,FT
21819,ESX,M843069,BTW,MAY,PT
21820,CLD,Y909175,ATW,MAY,PT
21821,BJZ,Y007844,BTW,MAR,PT
21822,AHS,J615121,BTW,AUG,PT
